userId,movieId,rating
10815242,180,3.0
10815242,195,2.5
10815242,337,3.5
10815242,1012,3.0
10815242,1136,3.5
17729060,599,3.5
17729060,6777,3.0
17729060,8012,3.5
17729060,7502,4.0
17729060,599,3.5
4255187,599,4.5
4255187,55071,4.5
4255187,7502,4.5
4255187,599,4.5
4255187,6777,4.0
8613072,293,4.5
8613072,440,3.5
8613072,454,3.5
8613072,471,4.0
8613072,508,4.0
10941605,599,4.0
10941605,55071,4.0
10941605,7502,4.5
10941605,599,4.0
10941605,6777,4.0
16308961,10,3.0
16308961,21,3.0
16308961,180,3.5
16308961,339,3.0
16308961,356,4.0
15566807,19,3.5
15566807,21,3.5
15566807,32,4.5
15566807,36,4.5
15566807,45,3.5
834793,231,3.0
834793,597,3.0
834793,2000,3.5
834793,2076,4.0
834793,2918,4.0
5026453,150,4.0
5026453,223,4.0
5026453,509,4.0
5026453,594,4.0
5026453,783,3.5
11114297,1,4.0
11114297,111,4.0
11114297,231,3.5
11114297,329,3.5
11114297,356,4.0
10702758,223,3.0
10702758,344,2.5
10702758,366,2.0
10702758,520,2.0
10702758,535,2.5
7737341,11,3.5
7737341,32,4.0
7737341,50,4.5
7737341,62,4.0
7737341,70,3.5
3276293,357,2.5
3276293,3114,3.0
3276293,3685,3.0
3276293,4545,2.5
3276293,5617,3.0
3095671,562,3.5
3095671,597,3.0
3095671,1729,3.5
3095671,45186,3.0
3095671,2,3.0
17288908,1,4.0
17288908,208,3.0
17288908,349,4.0
17288908,1059,4.0
17288908,1103,4.0
8470403,10,3.5
8470403,76,3.5
8470403,86,4.0
8470403,111,4.0
8470403,145,3.0
19890205,111,3.5
19890205,293,3.5
19890205,316,3.0
19890205,329,3.0
19890205,380,3.0
17530434,2997,3.5
17530434,5219,3.0
17530434,7502,4.5
17530434,599,4.0
17530434,6777,4.0
6270484,17,3.5
6270484,24,3.5
6270484,34,3.5
6270484,50,4.0
6270484,161,3.0
516,2,3.5
516,19,3.0
516,208,3.0
516,586,3.0
516,780,3.0
6166161,21,3.5
6166161,260,4.5
6166161,318,4.5
6166161,1129,3.5
6166161,1552,3.5
2301347,1213,4.0
2301347,2572,3.5
2301347,4022,3.0
2301347,6863,3.0
2301347,31878,3.5
3790351,16,4.5
3790351,144,3.5
3790351,153,3.5
3790351,173,2.5
3790351,356,4.5
8198943,168,2.5
8198943,231,3.0
8198943,317,3.0
8198943,413,3.0
8198943,497,4.0
8295317,541,4.5
8295317,1035,4.0
8295317,1127,4.0
8295317,1235,4.0
8295317,1247,4.0
383996,235,3.5
383996,377,3.0
383996,1230,3.5
383996,1321,3.5
383996,1339,3.5
6688345,599,4.0
6688345,55071,4.0
6688345,7502,4.5
6688345,599,4.0
6688345,6777,4.0
14881629,7,3.5
14881629,111,4.0
14881629,185,3.0
14881629,319,4.0
14881629,516,3.5
18011290,1,3.5
18011290,5,3.0
18011290,185,2.5
18011290,296,4.0
18011290,344,3.0
7097974,158,2.5
7097974,520,2.5
7097974,592,3.0
7097974,1020,2.5
7097974,1173,3.0
3928234,10,3.5
3928234,153,3.0
3928234,222,3.5
3928234,292,3.0
3928234,300,3.5
6742962,17,3.5
6742962,208,2.5
6742962,1089,3.5
6742962,1136,4.5
6742962,1213,4.0
3209781,36,4.5
3209781,153,3.0
3209781,190,4.0
3209781,231,3.5
3209781,293,4.5
19233941,788,3.0
19233941,1459,3.5
19233941,2380,2.5
19233941,3948,3.5
19233941,3968,3.0
1676483,1101,3.5
1676483,1409,2.5
1676483,2699,3.0
1676483,4027,4.0
