userId,movieId,rating
10815242,318,4
10815242,527,4
10815242,296,4
10815242,858,4
10815242,50,4
17729060,318,4
17729060,527,4
17729060,296,4
17729060,858,4
17729060,50,4
4255187,318,4
4255187,527,4
4255187,296,4
4255187,858,4
4255187,50,4
8613072,318,4
8613072,527,4
8613072,296,4
8613072,858,4
8613072,50,4
10941605,318,4
10941605,527,4
10941605,296,4
10941605,858,4
10941605,50,4
16308961,318,4
16308961,527,4
16308961,296,4
16308961,858,4
16308961,50,4
15566807,527,4
15566807,296,4
15566807,858,4
15566807,50,4
15566807,593,4
834793,318,4
834793,527,4
834793,296,4
834793,858,4
834793,50,4
5026453,318,4
5026453,527,4
5026453,296,4
5026453,858,4
5026453,50,4
11114297,318,4
11114297,527,4
11114297,296,4
11114297,858,4
11114297,50,4
10702758,318,4
10702758,527,4
10702758,296,4
10702758,858,4
10702758,50,4
7737341,527,4
7737341,296,4
7737341,858,4
7737341,50,4
7737341,593,4
3276293,318,4
3276293,527,4
3276293,296,4
3276293,858,4
3276293,50,4
3095671,318,4
3095671,527,4
3095671,296,4
3095671,858,4
3095671,50,4
17288908,318,4
17288908,527,4
17288908,296,4
17288908,858,4
17288908,50,4
8470403,318,4
8470403,527,4
8470403,296,4
8470403,858,4
8470403,593,4
19890205,318,4
19890205,527,4
19890205,296,4
19890205,858,4
19890205,50,4
17530434,318,4
17530434,527,4
17530434,296,4
17530434,858,4
17530434,50,4
6270484,318,4
6270484,527,4
6270484,296,4
6270484,858,4
6270484,50,4
516,318,4
516,527,4
516,296,4
516,858,4
516,50,4
6166161,318,4
6166161,527,4
6166161,296,4
6166161,858,4
6166161,50,4
2301347,318,4
2301347,527,4
2301347,296,4
2301347,858,4
2301347,50,4
3790351,318,4
3790351,527,4
3790351,296,4
3790351,858,4
3790351,50,4
8198943,318,4
8198943,527,4
8198943,296,4
8198943,858,4
8198943,50,4
8295317,318,4
8295317,527,4
8295317,296,4
8295317,858,4
8295317,50,4
383996,318,4
383996,527,4
383996,296,4
383996,858,4
383996,50,4
6688345,318,4
6688345,527,4
6688345,296,4
6688345,858,4
6688345,50,4
14881629,318,4
14881629,527,4
14881629,296,4
14881629,858,4
14881629,50,4
18011290,318,4
18011290,527,4
18011290,296,4
18011290,858,4
18011290,50,4
7097974,318,4
7097974,527,4
7097974,296,4
7097974,858,4
7097974,50,4
3928234,318,4
3928234,527,4
3928234,296,4
3928234,858,4
3928234,50,4
6742962,318,4
6742962,527,4
